DAUID,Province,DA Population,Residential Instability,Ethno-cultural Composition,Economic Dependency,Situational Vulnerability
10010256,Newfoundland & Labrador,520,-0.032,-0.574,-0.152,-0.386
10010257,Newfoundland & Labrador,505,-0.495,-0.634,1.213,-0.952
10010258,Newfoundland & Labrador,435,-0.325,-1.053,-0.239,-0.719
10010259,Newfoundland & Labrador,475,0.769,-0.612,0.589,0.541
10010260,Newfoundland & Labrador,385,-0.321,-1.18,-0.614,-0.182
10010261,Newfoundland & Labrador,470,0.01,-0.538,0.427,-0.445
10010262,Newfoundland & Labrador,465,0.992,0.287,-0.862,-0.401
10010263,Newfoundland & Labrador,465,-0.303,-0.577,0.239,-0.674
10010264,Newfoundland & Labrador,450,0.226,-0.491,0.85,-0.388
10010265,Newfoundland & Labrador,525,-0.696,-0.908,-0.044,-0.777
10010266,Newfoundland & Labrador,640,0.564,-0.437,0.552,-0.234
10010267,Newfoundland & Labrador,585,-0.564,-0.619,0.281,-0.495
10010268,Newfoundland & Labrador,275,-0.713,-0.738,0.972,-0.641
10010269,Newfoundland & Labrador,1145,-0.761,-0.663,-0.329,-0.492
10010270,Newfoundland & Labrador,820,-0.509,-0.464,-0.164,-0.692
10010271,Newfoundland & Labrador,445,-1.23,-0.685,-1.513,-0.78
10010272,Newfoundland & Labrador,485,-1.573,-0.784,-0.224,-0.876
10010273,Newfoundland & Labrador,1480,-0.881,-0.8,-0.652,-0.961
10010276,Newfoundland & Labrador,250,-0.088,-0.542,0.216,0.04
10010277,Newfoundland & Labrador,650,0.904,-0.259,0.247,0.094
10010278,Newfoundland & Labrador,165,0.16,-0.282,-0.582,-0.105
10010279,Newfoundland & Labrador,870,0.235,-0.865,0.076,-0.808
10010280,Newfoundland & Labrador,300,0.71,0.451,0.268,1.423
10010281,Newfoundland & Labrador,230,0.331,-0.284,0.426,-0.094
10010282,Newfoundland & Labrador,660,0.628,1.073,0.178,1.096
10010283,Newfoundland & Labrador,900,2.308,-0.675,1.685,-0.289
10010284,Newfoundland & Labrador,260,0.786,-1.235,0.63,-0.93
10010285,Newfoundland & Labrador,355,0.06,-1.23,0.461,-0.495
10010286,Newfoundland & Labrador,360,1.842,-0.944,2.017,-0.487
10010290,Newfoundland & Labrador,450,1.804,-1.114,-0.751,-0.103
10010294,Newfoundland & Labrador,525,1.766,-0.143,-1.365,-0.372
10010295,Newfoundland & Labrador,420,1.675,-0.874,-1.335,-0.159
10010296,Newfoundland & Labrador,345,2.042,-0.82,-0.243,0.732
10010297,Newfoundland & Labrador,425,0.461,-0.874,-0.557,-0.092
10010298,Newfoundland & Labrador,340,0.851,-0.968,-0.637,-0.498
10010299,Newfoundland & Labrador,520,1.278,-0.864,-0.248,0.389
10010300,Newfoundland & Labrador,355,1.792,0.106,0.463,1.302
10010301,Newfoundland & Labrador,325,1.15,-0.215,-0.367,1.427
10010302,Newfoundland & Labrador,345,1.134,-0.571,-0.964,0.055
10010303,Newfoundland & Labrador,255,1.564,-0.723,0.816,0.296
10010304,Newfoundland & Labrador,435,1.177,-1.067,-0.775,0.576
10010305,Newfoundland & Labrador,475,1.588,-0.875,-0.064,0.473
10010306,Newfoundland & Labrador,490,1.737,-0.89,-0.203,0.225
10010307,Newfoundland & Labrador,405,0.872,-0.819,-0.154,0.654
10010308,Newfoundland & Labrador,345,1.288,-0.845,0.122,1.02
10010309,Newfoundland & Labrador,770,0.427,-0.856,-0.115,-1.002
10010310,Newfoundland & Labrador,405,-1.14,-0.856,-0.286,-1.569
10010337,Newfoundland & Labrador,940,0.582,0.487,-0.012,0.88
10010338,Newfoundland & Labrador,520,0.761,-0.323,0.123,-0.194
10010339,Newfoundland & Labrador,390,-0.642,-0.691,0.463,-1.048
10010340,Newfoundland & Labrador,460,-0.337,0.122,0.744,-0.7
10010341,Newfoundland & Labrador,305,-0.575,-0.775,1.192,-0.803
10010342,Newfoundland & Labrador,390,-0.231,-0.74,-0.134,-0.328
10010343,Newfoundland & Labrador,280,-0.764,-0.466,0.479,-0.877
10010344,Newfoundland & Labrador,825,0.976,0.322,-0.452,-0.394
10010345,Newfoundland & Labrador,965,-0.71,-0.397,-0.467,-0.642
10010346,Newfoundland & Labrador,430,-0.769,-0.279,-0.07,-0.863
10010348,Newfoundland & Labrador,1455,-0.14,-0.724,-1.139,-0.483
10010356,Newfoundland & Labrador,565,1.905,-0.802,3.8,-0.739
10010357,Newfoundland & Labrador,295,-0.951,-0.959,0.333,-0.926
10010457,Newfoundland & Labrador,460,0.133,-0.768,0.005,0.52
10010458,Newfoundland & Labrador,535,0.316,-0.289,-0.379,0.78
10010459,Newfoundland & Labrador,415,0.023,-0.894,1.624,-0.871
10010460,Newfoundland & Labrador,565,-0.315,-0.687,-0.232,-0.523
10010461,Newfoundland & Labrador,405,-0.063,-0.489,0.237,-0.033
10010482,Newfoundland & Labrador,545,0.474,-0.541,-0.445,-0.769
10010484,Newfoundland & Labrador,765,1.511,-0.643,1.383,0.401
10010485,Newfoundland & Labrador,490,-0.741,-0.554,-0.174,-0.961
10010486,Newfoundland & Labrador,1065,0.105,-0.789,-0.257,-0.092
10010488,Newfoundland & Labrador,610,0.987,-0.603,0.263,-0.101
10010489,Newfoundland & Labrador,295,-0.461,-0.216,-0.435,-0.18
10010490,Newfoundland & Labrador,480,-0.248,-0.644,0.307,-0.832
10010491,Newfoundland & Labrador,895,0.102,-0.845,-0.406,-0.374
10010492,Newfoundland & Labrador,610,0.153,-0.747,0.717,0.225
10010493,Newfoundland & Labrador,350,-0.47,-0.958,-0.213,-0.125
10010494,Newfoundland & Labrador,380,-0.78,-0.846,0.204,-0.095
10010495,Newfoundland & Labrador,320,0.545,-0.836,0.382,0.413
10010496,Newfoundland & Labrador,380,-0.628,-0.917,1.539,0.091
10010497,Newfoundland & Labrador,455,-0.447,-0.943,1.555,1.12
10010498,Newfoundland & Labrador,550,-0.579,-0.927,0.79,-0.216
10010499,Newfoundland & Labrador,195,-0.58,-0.844,1.997,0.028
10010500,Newfoundland & Labrador,605,-0.345,-0.9,1.432,0.204
10010501,Newfoundland & Labrador,205,0.048,-0.87,2.051,0.537
10010502,Newfoundland & Labrador,440,-0.201,-1.043,1.318,0.156
10010503,Newfoundland & Labrador,205,-0.814,-0.874,1.619,0.327
10010504,Newfoundland & Labrador,355,-0.795,-0.812,2.134,-0.086
10010505,Newfoundland & Labrador,760,-0.392,-0.825,1.145,0.129
10010506,Newfoundland & Labrador,440,-0.449,-0.837,1.531,0.121
10010507,Newfoundland & Labrador,390,-0.311,-0.678,0.453,1.043
10010508,Newfoundland & Labrador,475,-0.489,-0.791,0.989,0.179
10010509,Newfoundland & Labrador,350,-0.593,-0.799,1.64,-0.067
10010510,Newfoundland & Labrador,365,-0.697,-0.832,1.176,0.547
10010511,Newfoundland & Labrador,435,-0.524,-0.762,0.685,0.306
10010512,Newfoundland & Labrador,390,-0.518,-0.803,1.025,0.618
10010513,Newfoundland & Labrador,290,0.082,-0.9,2.002,0.037
10010514,Newfoundland & Labrador,385,0.942,-1.079,2.214,0.711
10010515,Newfoundland & Labrador,510,-0.412,-0.634,1.435,0.011
10010516,Newfoundland & Labrador,530,-0.805,-0.773,1.616,-0.026
10010517,Newfoundland & Labrador,615,-0.462,-0.868,0.62,-0.305
10010518,Newfoundland & Labrador,575,0.395,-0.709,0.603,-0.199
10010519,Newfoundland & Labrador,405,0.718,-0.993,0.645,0.607
10010520,Newfoundland & Labrador,295,-0.937,-0.96,0.001,-0.686
10010521,Newfoundland & Labrador,445,-0.381,-0.758,0.804,0.345
10010522,Newfoundland & Labrador,420,0.22,-0.722,1.603,1.115
10010523,Newfoundland & Labrador,375,0.015,-0.841,2.166,0.87
10010524,Newfoundland & Labrador,410,0.001,-0.716,1.097,1.271
10010525,Newfoundland & Labrador,480,-0.288,-0.836,0.747,-0.111
10010526,Newfoundland & Labrador,265,-0.917,-0.996,1.44,-0.402
10010527,Newfoundland & Labrador,395,-0.704,-0.683,1.221,0.315
10010529,Newfoundland & Labrador,405,-0.864,-0.636,0.959,0.133
10010530,Newfoundland & Labrador,375,-0.518,-0.746,0.782,0.223
10010531,Newfoundland & Labrador,240,-0.458,-0.901,0.896,0.104
10010532,Newfoundland & Labrador,280,-0.601,-0.938,1.345,-0.184
10010533,Newfoundland & Labrador,340,-0.994,-0.608,2.69,0.817
10010534,Newfoundland & Labrador,340,-1.267,-0.571,1.717,0.267
10010535,Newfoundland & Labrador,755,-0.878,-0.876,0.041,0.182
10010536,Newfoundland & Labrador,535,-0.664,-0.846,0.229,0.26
10010537,Newfoundland & Labrador,765,-0.29,-0.929,0.505,0.102
10010538,Newfoundland & Labrador,380,-0.608,-0.963,0.98,-0.235
10010539,Newfoundland & Labrador,595,-0.86,-0.879,0.946,-0.555
10010540,Newfoundland & Labrador,820,-0.656,-0.748,0.564,0.209
10010541,Newfoundland & Labrador,480,-0.063,-0.878,-0.09,0.291
10010542,Newfoundland & Labrador,545,-0.636,-0.629,0.343,0.645
10010543,Newfoundland & Labrador,490,0.017,-0.777,0.897,1.011
10010544,Newfoundland & Labrador,575,-0.926,-0.858,0.995,-0.287
10010546,Newfoundland & Labrador,565,-0.348,-0.843,1.249,-0.163
10010547,Newfoundland & Labrador,765,-0.297,-0.997,0.664,-0.08
10010548,Newfoundland & Labrador,560,-0.099,-0.984,0.789,-0.248
10010549,Newfoundland & Labrador,640,-0.631,-0.967,0.143,0.049
10010550,Newfoundland & Labrador,370,-0.398,-0.572,1.965,1.139
10010551,Newfoundland & Labrador,370,-0.64,-0.672,1.816,0.198
10010552,Newfoundland & Labrador,345,-0.215,-0.696,1.752,0.474
10010553,Newfoundland & Labrador,320,-0.271,-0.923,1.789,0.064
10010554,Newfoundland & Labrador,480,-0.548,-0.757,1.597,0.642
10010555,Newfoundland & Labrador,400,-0.825,-0.914,1.201,0.087
10010556,Newfoundland & Labrador,300,-0.128,-0.973,3.453,0.592
10010557,Newfoundland & Labrador,390,-0.535,-0.759,-0.005,0.565
10010558,Newfoundland & Labrador,440,-0.326,-0.599,0.754,1.026
10010559,Newfoundland & Labrador,305,-0.43,-0.767,1.808,0.206
10010560,Newfoundland & Labrador,685,-0.517,-0.723,1.429,0.537
10010561,Newfoundland & Labrador,275,-0.207,-0.811,1.155,0.159
10010562,Newfoundland & Labrador,565,-0.208,-0.942,0.795,-0.048
10010563,Newfoundland & Labrador,545,-0.12,-0.922,0.888,-0.456
10010564,Newfoundland & Labrador,410,-0.615,-1.02,1.351,-0.589
10010565,Newfoundland & Labrador,540,-0.823,-0.829,0.144,-0.331
10010566,Newfoundland & Labrador,520,-0.662,-0.852,0.454,0.065
10010567,Newfoundland & Labrador,560,-0.619,-0.926,-0.153,-0.48
10010568,Newfoundland & Labrador,600,-0.607,-0.884,-0.715,0.196
10010569,Newfoundland & Labrador,500,-0.669,-0.844,-0.271,0.307
10010570,Newfoundland & Labrador,695,-0.647,-0.836,0.127,-0.233
10010571,Newfoundland & Labrador,440,-0.924,-1.021,-0.836,-0.789
10010572,Newfoundland & Labrador,1535,-0.432,-0.902,-0.985,-0.439
10010573,Newfoundland & Labrador,1060,-0.413,-0.836,0.197,-0.195
10010574,Newfoundland & Labrador,480,-0.578,-0.929,-0.093,-0.357
10010575,Newfoundland & Labrador,1615,-0.857,-0.804,-0.824,-0.577
10010576,Newfoundland & Labrador,825,-0.718,-0.868,-1.017,-0.218
10010577,Newfoundland & Labrador,390,-0.454,-1.12,0.012,-0.288
10010578,Newfoundland & Labrador,540,-0.282,-0.866,-0.374,-0.052
10010579,Newfoundland & Labrador,825,-0.206,-0.987,0.282,-0.158
10010580,Newfoundland & Labrador,565,-0.326,-0.919,-0.222,-0.25
10010581,Newfoundland & Labrador,645,-0.078,-0.908,-0.386,-0.191
10010582,Newfoundland & Labrador,710,-0.457,-0.815,-0.319,-0.044
10010583,Newfoundland & Labrador,680,-0.69,-0.699,-0.236,-0.157
10010584,Newfoundland & Labrador,1070,-0.557,-0.907,-0.498,-0.266
10010585,Newfoundland & Labrador,680,-0.607,-0.799,-0.835,-0.162
10010586,Newfoundland & Labrador,655,-0.374,-0.657,-0.211,0.101
10010587,Newfoundland & Labrador,295,-0.317,-0.851,0.769,0.363
10010588,Newfoundland & Labrador,620,-0.404,-0.707,0.085,0.419
10010589,Newfoundland & Labrador,1115,-0.183,-0.951,-0.499,-0.408
10010590,Newfoundland & Labrador,720,-0.597,-0.761,-0.046,-0.263
10010591,Newfoundland & Labrador,635,-0.408,-0.823,0.802,0.079
10010592,Newfoundland & Labrador,495,-1.092,-0.89,0.218,-0.295
10010593,Newfoundland & Labrador,605,-0.796,-0.971,-1.015,-0.403
10010594,Newfoundland & Labrador,400,-0.797,-0.97,-1.449,-0.372
10010595,Newfoundland & Labrador,430,-0.756,-0.909,-0.811,-0.157
10010596,Newfoundland & Labrador,460,-0.643,-0.955,-0.442,-0.469
10010597,Newfoundland & Labrador,480,-1.007,-0.807,0.259,-0.248
10010598,Newfoundland & Labrador,640,-0.394,-0.884,-0.329,-0.387
10010599,Newfoundland & Labrador,695,-0.857,-0.88,-0.427,-0.454
10010600,Newfoundland & Labrador,640,-0.891,-0.875,-0.359,-0.832
10010601,Newfoundland & Labrador,525,-0.773,-0.894,-0.507,-0.645
10010602,Newfoundland & Labrador,1055,-0.555,-0.924,-0.703,-0.452
10010603,Newfoundland & Labrador,590,-0.329,-0.787,-0.449,-0.29
10010604,Newfoundland & Labrador,560,-0.984,-0.85,-0.157,-0.343
10010605,Newfoundland & Labrador,580,-1.212,-0.765,-0.964,-0.75
10010607,Newfoundland & Labrador,1425,-0.336,-0.882,-1.715,-0.353
10010608,Newfoundland & Labrador,2405,-0.541,-0.871,-1.47,-0.666
10010610,Newfoundland & Labrador,1110,-0.674,-0.73,-0.746,-0.174
10010611,Newfoundland & Labrador,175,-0.582,-0.91,0.232,-0.079
10010614,Newfoundland & Labrador,405,-1.167,-0.781,-1.649,-0.681
10010617,Newfoundland & Labrador,2840,-0.453,-0.916,-1.185,-0.398
10010618,Newfoundland & Labrador,650,-0.484,-0.954,-1.778,-0.527
10010619,Newfoundland & Labrador,500,-0.626,-1.055,-1.551,-0.257
10010620,Newfoundland & Labrador,950,0.441,-1.041,1.136,-0.82
10010621,Newfoundland & Labrador,605,0.142,-0.809,-1.532,-0.493
10010622,Newfoundland & Labrador,610,-0.582,-0.922,-1.351,-0.651
10010623,Newfoundland & Labrador,650,-0.29,-0.683,-0.003,-0.279
10010624,Newfoundland & Labrador,420,0.113,-0.99,0.952,-0.029
10010625,Newfoundland & Labrador,375,-0.337,-1.03,-0.627,-0.378
10010626,Newfoundland & Labrador,460,-0.342,-0.749,-0.226,0.243
10010627,Newfoundland & Labrador,400,-0.357,-0.945,0.874,-0.331
10010628,Newfoundland & Labrador,350,-0.145,-0.792,0.966,-0.258
10010629,Newfoundland & Labrador,1020,-0.062,-0.984,0.061,-0.082
10010630,Newfoundland & Labrador,425,-0.331,-0.83,-0.294,0.151
10010631,Newfoundland & Labrador,225,0.557,-0.404,-0.142,0.652
10010632,Newfoundland & Labrador,670,-0.64,-0.963,0.4,-0.534
10010633,Newfoundland & Labrador,660,-0.07,-0.934,-0.201,-0.227
10010634,Newfoundland & Labrador,715,-0.53,-0.896,-0.464,-0.256
10010635,Newfoundland & Labrador,370,-0.279,-0.978,0.178,-0.333
10010636,Newfoundland & Labrador,815,-0.371,-0.898,-0.137,-0.216
10010637,Newfoundland & Labrador,650,0.001,-0.821,-1.231,-0.006
10010638,Newfoundland & Labrador,480,-0.625,-0.831,-0.008,0.463
10010639,Newfoundland & Labrador,435,-0.554,-0.447,-0.007,-0.395
10010640,Newfoundland & Labrador,365,-0.444,-0.85,0.577,-0.333
10010641,Newfoundland & Labrador,345,-0.502,-1.065,0.512,-0.5
10010642,Newfoundland & Labrador,465,-0.011,-0.999,0.263,0.259
10010643,Newfoundland & Labrador,620,-0.087,-0.608,0.772,0.171
10010644,Newfoundland & Labrador,1490,-0.67,-0.762,-1.573,-0.685
10010645,Newfoundland & Labrador,375,-0.303,-0.771,0.624,0.053
10010646,Newfoundland & Labrador,630,0.199,-0.833,1.6,0.205
10010647,Newfoundland & Labrador,475,0.468,-0.432,0.787,0.222
10010648,Newfoundland & Labrador,320,-0.53,-0.929,-0.046,-0.248
10010649,Newfoundland & Labrador,260,-0.261,-0.858,0.364,-0.461
10010650,Newfoundland & Labrador,320,-0.01,-0.917,1.379,0.209
10010651,Newfoundland & Labrador,1170,-0.186,-0.918,-0.87,-0.304
10010652,Newfoundland & Labrador,465,0.477,-0.714,-0.639,1.157
10010653,Newfoundland & Labrador,680,0.104,-0.973,-0.735,-0.112
10010654,Newfoundland & Labrador,460,-0.475,-0.668,-0.365,0.093
10010655,Newfoundland & Labrador,285,-0.58,-0.995,0.98,-0.736
10010656,Newfoundland & Labrador,740,-0.955,-0.835,0.323,-0.516
10010657,Newfoundland & Labrador,390,-0.671,-0.724,0.468,0.458
10010658,Newfoundland & Labrador,375,0.527,-0.791,1.138,-0.044
10010659,Newfoundland & Labrador,285,-0.414,-0.898,-0.111,-0.372
10010660,Newfoundland & Labrador,180,0.081,-0.973,-0.685,-0.278
10010661,Newfoundland & Labrador,1055,-0.765,-1.001,-0.913,-0.724
10010662,Newfoundland & Labrador,280,-0.586,-0.9,0.46,-0.474
10010663,Newfoundland & Labrador,295,-1.354,-1.017,0.125,-0.885
10010664,Newfoundland & Labrador,245,-1.461,-0.997,0.325,-0.898
10010666,Newfoundland & Labrador,550,-0.998,-0.808,-0.781,-0.133
10010667,Newfoundland & Labrador,720,-0.715,-1.015,-1.937,-0.8
10010668,Newfoundland & Labrador,550,-1.271,-0.968,-0.501,-0.704
10010669,Newfoundland & Labrador,565,-0.652,-0.855,-0.054,-0.029
10010670,Newfoundland & Labrador,570,-0.521,-0.817,-0.58,-0.173
10010671,Newfoundland & Labrador,870,-0.67,-0.9,-1.069,-0.378
10010672,Newfoundland & Labrador,380,-0.825,-0.886,0.199,-0.453
10010673,Newfoundland & Labrador,250,-0.159,-0.841,1.142,0.401
10010674,Newfoundland & Labrador,405,-0.691,-0.908,-0.15,-0.431
10010675,Newfoundland & Labrador,515,0.035,-0.704,0.448,0.309
10010676,Newfoundland & Labrador,855,-0.902,-0.695,0.234,0.082
10010677,Newfoundland & Labrador,510,0.267,-0.751,-0.98,0.525
10010678,Newfoundland & Labrador,565,-0.563,-0.809,0.263,0.196
10010679,Newfoundland & Labrador,630,-0.425,-1.03,-0.388,-0.4
10010680,Newfoundland & Labrador,320,-0.598,-0.939,-0.621,0.038
10010681,Newfoundland & Labrador,285,-0.952,-0.725,1.051,-0.409
10010683,Newfoundland & Labrador,900,-0.926,-0.804,-0.442,-0.269
10010684,Newfoundland & Labrador,665,-0.38,-0.757,0.517,-0.17
10010685,Newfoundland & Labrador,1075,-1.242,-0.906,-0.786,-0.51
10010686,Newfoundland & Labrador,510,-0.83,-0.806,0.438,-0.159
10010687,Newfoundland & Labrador,75,-0.454,-0.431,-1.871,0.735
10010688,Newfoundland & Labrador,370,-1.226,-0.765,0.236,-0.48
10010689,Newfoundland & Labrador,890,-0.471,-0.751,0.866,-0.147
10010690,Newfoundland & Labrador,390,-0.245,-1.078,1.762,-0.65
10010691,Newfoundland & Labrador,435,-0.579,-0.792,0.208,-0.014
10010692,Newfoundland & Labrador,710,-0.676,-0.922,1.257,-0.021
10010694,Newfoundland & Labrador,495,-0.681,-1.03,0.725,0.215
10010695,Newfoundland & Labrador,595,-0.772,-0.854,1.155,0.258
10010696,Newfoundland & Labrador,385,-0.608,-0.9,2.183,0.17
10010697,Newfoundland & Labrador,590,-0.666,-0.768,0.854,0.415
10010698,Newfoundland & Labrador,425,-0.716,-0.838,1.814,0.365
10010699,Newfoundland & Labrador,435,-0.755,-0.935,1.043,-0.301
10010700,Newfoundland & Labrador,410,-0.702,-0.965,1.895,-0.164
10010701,Newfoundland & Labrador,335,-0.912,-1.136,0.353,-0.86
10010702,Newfoundland & Labrador,695,-0.359,-0.855,1.471,0.308
10010703,Newfoundland & Labrador,140,-0.3,-1.088,2.636,0.642
10010704,Newfoundland & Labrador,305,-0.113,-1.015,2.578,0.695
10010705,Newfoundland & Labrador,135,0.355,-1.164,2.483,-0.151
10010706,Newfoundland & Labrador,490,-0.732,-0.928,2.014,-0.246
10010707,Newfoundland & Labrador,420,-0.479,-0.954,1.999,0.329
10010708,Newfoundland & Labrador,395,-0.948,-0.848,1.799,0.494
10010709,Newfoundland & Labrador,385,-0.867,-0.955,1.443,-0.152
10010710,Newfoundland & Labrador,480,-0.785,-0.849,1.603,-0.293
10010711,Newfoundland & Labrador,165,-0.957,-0.81,0.521,0.884
10010712,Newfoundland & Labrador,660,-0.034,-0.981,0.331,0.14
10010713,Newfoundland & Labrador,280,-0.84,-0.878,1.788,-0.021
10010714,Newfoundland & Labrador,225,-0.474,-1.155,3.7,-0.256
10010715,Newfoundland & Labrador,205,-0.304,-1.213,2.948,-0.089
10010716,Newfoundland & Labrador,260,-0.647,-1.056,1.316,0.973
10010717,Newfoundland & Labrador,650,-0.636,-0.911,1.4,-0.083
10010718,Newfoundland & Labrador,495,-1.037,-0.932,1.209,0.001
10010719,Newfoundland & Labrador,715,-0.832,-0.954,0.596,-0.489
10010720,Newfoundland & Labrador,425,-0.585,-0.737,0.458,0.158
10010721,Newfoundland & Labrador,530,-0.061,-0.976,1.062,0.312
10010722,Newfoundland & Labrador,510,-0.42,-1.045,1.427,-0.001
10010723,Newfoundland & Labrador,95,-0.271,-1.306,3.901,-0.6
10010724,Newfoundland & Labrador,410,-0.085,-1.013,1.738,-0.42
10010725,Newfoundland & Labrador,85,-0.896,-1.162,3.396,-0.976
10010726,Newfoundland & Labrador,380,0.03,-1.219,0.421,0.221
10010727,Newfoundland & Labrador,85,-0.09,-0.947,2.836,0.292
10010728,Newfoundland & Labrador,230,-0.695,-0.92,2.115,-0.227
10010729,Newfoundland & Labrador,285,-0.508,-1.019,2.785,-0.281
